year,unit,section,bucks,does,fawns,total_harvest,total_hunters,pct_success,rec_days
2021,2,all,39,0,0,39,49,80,231
2021,201,all,46,0,0,46,54,85,204
2021,3,all,1398,419,42,1859,2614,71,8959
2021,301,all,712,153,16,881,1433,61,4480
2021,4,all,674,341,14,1029,1629,63,6392
2021,441,all,216,28,0,244,457,53,1834
2021,5,all,162,72,2,236,435,54,1911
2021,6,all,83,0,0,83,179,46,788
2021,7,all,70,94,6,170,1037,16,5433
2021,8,all,144,86,0,230,1157,20,5462
2021,9,all,56,60,0,116,246,47,1344
2021,10,all,59,0,0,59,61,97,298
2021,11,all,736,235,25,996,1611,62,6257
2021,211,all,511,183,8,702,1090,64,3852
2021,12,all,383,89,6,478,1183,40,5541
2021,13,all,220,34,6,260,571,46,2222
2021,131,all,10,1,0,11,85,13,422
2021,231,all,21,17,0,38,150,25,957
2021,14,all,25,26,0,51,280,18,1377
2021,214,all,14,20,2,36,155,23,641
2021,15,all,315,102,4,421,1284,33,6608
2021,16,all,21,0,0,21,136,15,622
2021,161,all,118,0,0,118,203,58,946
2021,17,all,39,0,0,39,113,35,595
2021,171,all,52,0,0,52,110,47,499
2021,18,all,361,208,28,597,2696,22,10535
2021,181,all,168,58,0,226,940,24,3806
2021,19,all,206,118,4,328,931,35,3188
2021,191,all,418,113,5,536,1365,39,4789
2021,20,all,585,244,29,858,1793,48,10887
2021,21,all,359,0,0,359,442,81,2013
2021,22,all,550,349,30,929,1276,73,5126
2021,23,all,389,83,9,481,1195,40,5336
2021,24,all,33,6,3,42,424,10,2105
2021,25,all,300,39,0,339,908,37,4636
2021,26,all,166,27,0,193,558,35,2363
2021,27,all,182,70,13,265,1019,26,3806
2021,28,all,196,195,11,402,2326,17,9457
2021,29,all,156,75,10,241,961,25,4858
2021,30,all,139,21,0,160,261,61,1317
2021,31,all,305,18,0,323,546,59,2392
2021,33,all,413,79,5,497,1277,39,6516
2021,34,all,100,23,7,130,680,19,3366
2021,35,all,267,60,8,335,960,35,4044
2021,36,all,372,54,0,426,941,45,3721
2021,361,all,81,6,0,87,240,36,1068
2021,37,all,308,145,18,471,1628,29,6848
2021,371,all,24,0,0,24,523,5,2254
2021,38,all,146,75,0,221,1134,19,5850
2021,39,all,133,74,2,209,643,33,3132
2021,391,all,101,43,0,144,361,40,2535
2021,40,all,286,0,1,287,396,72,1869
2021,41,all,355,43,0,398,788,51,3832
2021,411,all,102,58,0,160,300,53,1343
2021,42,all,379,2,5,386,692,56,2899
2021,421,all,348,41,4,393,795,49,3726
2021,43,all,294,45,4,343,830,41,4109
2021,44,all,109,39,0,148,269,55,1416
2021,444,all,237,61,0,298,638,47,3112
2021,45,all,76,29,0,105,312,34,1503
2021,46,all,120,58,5,183,424,43,2002
2021,461,all,111,36,0,147,369,40,3511
2021,47,all,74,6,0,80,211,38,1125
2021,471,all,23,4,0,27,89,30,570
2021,48,all,50,9,0,59,264,22,1246
2021,481,all,101,39,0,140,344,41,1622
2021,49,all,334,40,0,374,716,52,3006
2021,50,all,84,0,0,84,304,28,1359
2021,500,all,14,5,0,19,147,13,784
2021,501,all,222,91,8,321,565,57,2394
2021,51,all,219,47,5,271,502,54,2618
2021,511,all,238,122,3,363,556,65,2208
2021,512,all,15,10,0,25,28,89,32
2021,52,all,283,65,0,348,745,47,3357
2021,521,all,156,1,0,157,378,42,1915
2021,53,all,212,22,0,234,332,70,1700
2021,54,all,309,0,0,309,510,61,2799
2021,55,all,246,162,6,414,672,62,3227
2021,551,all,166,91,0,257,421,61,2080
2021,56,all,77,12,0,89,265,34,1265
2021,561,all,50,0,0,50,143,35,682
2021,57,all,77,41,0,118,297,40,922
2021,581,all,198,50,0,248,518,48,1898
